                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                                      76                  3.2219201263546565E-004                  2.3567730313636960E+002                  2.3723177598800289E+000                  1.4300880000000000E+003 
                                      78                  3.2220269153261275E-004                  2.9109742502926571E+002                  2.4640383638018233E+000                  1.4864330000000000E+003 
                                      80                  3.2221134478086920E-004                  4.3242029852186027E+002                  2.6359060722588943E+000                  1.5412770000000000E+003 
                                      82                  3.2221688285975330E-004                  6.4285258248226137E+002                  2.8081113929013757E+000                  1.5893420000000001E+003 
                                      84                  3.2222042723023916E-004                  8.6835893071036185E+002                  2.9386992751835312E+000                  1.6348250000000000E+003 
                                      86                  3.2222290064911144E-004                  1.0871824144660209E+003                  3.0363024189248278E+000                  1.6748070000000000E+003 
                                      88                  3.2222502932048597E-004                  1.3262363126506334E+003                  3.1226209148200654E+000                  1.7146620000000000E+003 
                                      90                  3.2222704201712439E-004                  1.6003185626324321E+003                  3.2042064427949106E+000                  1.7510780000000000E+003 
                                      92                  3.2222950546730868E-004                  2.0007904461113390E+003                  3.3012016049464399E+000                  1.7848840000000000E+003 
                                      94                  3.2223275462674855E-004                  2.6368630206814396E+003                  3.4210875697223950E+000                  1.8166640000000000E+003 
                                      96                  3.2223519736251151E-004                  3.1974882020020864E+003                  3.5048089507066429E+000                  1.8470799999999999E+003 
                                      98                  3.2223903164327127E-004                  4.2045594340074995E+003                  3.6237204958762739E+000                  1.8793019999999999E+003 
                                     100                  3.2224224157344087E-004                  5.1681162016095423E+003                  3.7133322699155227E+000                  1.9101130000000001E+003 
                                     102                  3.2224587033541753E-004                  6.3604217265974976E+003                  3.8034859124191764E+000                  1.9409469999999999E+003 
                                     104                  3.2225070209150218E-004                  8.0572344982985378E+003                  3.9061860035640010E+000                  1.9753840000000000E+003 
                                     106                  3.2225559669395577E-004                  9.8368017222933522E+003                  3.9928539175228352E+000                  2.0073960000000000E+003 
                                     108                  3.2226219526879985E-004                  1.2181270699815106E+004                  4.0856925944654181E+000                  2.0446759999999999E+003 
                                     110                  3.2227128739470987E-004                  1.5133953487864244E+004                  4.1799523948889190E+000                  2.0822289999999998E+003 
                                     112                  3.2228162826626220E-004                  1.8068829929218449E+004                  4.2569300301626667E+000                  2.1178310000000001E+003 
                                     114                  3.2229607331572352E-004                  2.1520716968341669E+004                  4.3328567358701715E+000                  2.1533840000000000E+003 
                                     116                  3.2231944131748787E-004                  2.6365742545200545E+004                  4.4210400069871119E+000                  2.1884099999999999E+003 
                                     118                  3.2234254063300048E-004                  3.1040042361185981E+004                  4.4919223052799895E+000                  2.2237710000000002E+003 
                                     120                  3.2235732419492856E-004                  3.4037683317089832E+004                  4.5319599933384334E+000                  2.2836509999999998E+003 
                                     122                  3.2236678567456250E-004                  3.5937927045057259E+004                  4.5555530227212868E+000                  2.3458270000000002E+003 
                                     124                  3.2237291044723851E-004                  3.7152251823696628E+004                  4.5699851417834800E+000                  2.4087620000000002E+003 
                                     126                  3.2237785863726366E-004                  3.8119018213405354E+004                  4.5811417064995688E+000                  2.4753159999999998E+003 
                                     128                  3.2238449438652943E-004                  3.9382332883036812E+004                  4.5953014387757172E+000                  2.5418780000000002E+003 
                                     130                  3.2239475307860706E-004                  4.1236936821641495E+004                  4.6152863973761074E+000                  2.6148620000000001E+003 
                                     132                  3.2240173445767804E-004                  4.2437635769093926E+004                  4.6277511810484109E+000                  2.6892910000000002E+003 
                                     134                  3.2241071004497271E-004                  4.3874439294686257E+004                  4.6422115793250542E+000                  2.7644690000000001E+003 
                                     136                  3.2242473095250233E-004                  4.5839845201019845E+004                  4.6612431423699698E+000                  2.8443370000000000E+003 
                                     138                  3.2243489865080158E-004                  4.7076996723727330E+004                  4.6728087492453971E+000                  2.9296900000000001E+003 
                                     140                  3.2245513976763190E-004                  4.8884273908149386E+004                  4.6891691688708104E+000                  3.0185000000000000E+003 
                                     142                  3.2246813129108945E-004                  4.9705924329893969E+004                  4.6964081543358818E+000                  3.2071590000000001E+003 
                                     144                  3.2247169468038067E-004                  4.9893774297195261E+004                  4.6980463581072520E+000                  3.3706370000000002E+003 
                                     146                  3.2247288247681105E-004                  4.9963414005182596E+004                  4.6986521061023154E+000                  3.4851610000000001E+003 
                                     148                  3.2247466417145660E-004                  5.0009507246680747E+004                  4.6990525753814651E+000                  3.6023600000000001E+003 
                                     150                  3.2247884543784642E-004                  5.0142515746985860E+004                  4.7002061195628650E+000                  3.7823760000000002E+003 
                                     152                  3.2248214824086210E-004                  5.0267694024003045E+004                  4.7012889628962418E+000                  3.8997269999999999E+003 
                                     154                  3.2248710244538555E-004                  5.0377410262775906E+004                  4.7022358380828102E+000                  4.0151950000000002E+003 
                                     156                  3.2249828612878766E-004                  5.0479962939439472E+004                  4.7031190273929147E+000                  4.1352250000000004E+003 
                                     158                  3.2250892279707611E-004                  5.0328550563398821E+004                  4.7018144231175434E+000                  4.3628280000000004E+003 
                                     160                  3.2251246835317233E-004                  5.0304223067917279E+004                  4.7016044458532642E+000                  4.4818440000000001E+003 
                                     162                  3.2251778668731650E-004                  5.0151468742421188E+004                  4.7002836563472332E+000                  4.6041099999999997E+003 
                                     164                  3.2252934371463553E-004                  4.9671414564543251E+004                  4.6961065282019403E+000                  4.7249409999999998E+003 
                                     166                  3.2254941280072805E-004                  4.8403082331010759E+004                  4.6848730186015581E+000                  4.8502529999999997E+003 
                                     168                  3.2256225701582722E-004                  4.7435554309192230E+004                  4.6761039799038810E+000                  4.9772489999999998E+003 
                                     170                  3.2257097439631705E-004                  4.6695573379451678E+004                  4.6692757125147901E+000                  5.0922950000000001E+003 
                                     172                  3.2257753784583677E-004                  4.6116964708641761E+004                  4.6638607154989105E+000                  5.2068860000000004E+003 
                                     174                  3.2258192672220728E-004                  4.5715750118340336E+004                  4.6600658502022032E+000                  5.3184449999999997E+003 
                                     176                  3.2259262681991023E-004                  4.4527123858772589E+004                  4.6486246436467242E+000                  5.4660569999999998E+003 
                                     178                  3.2262027372953028E-004                  4.2105859630960280E+004                  4.6243425383133596E+000                  5.5584970000000003E+003 
                                     180                  3.2271409312806666E-004                  3.5373735622228683E+004                  4.5486809256460541E+000                  5.6536360000000004E+003 
                                     182                  3.2286606080704071E-004                  2.9605973049493557E+004                  4.4713793394623025E+000                  5.7227860000000001E+003 
                                     184                  3.2313411105598444E-004                  2.4121170228890584E+004                  4.3823983736016707E+000                  5.7656700000000001E+003 
                                     186                  3.2343079952020399E-004                  1.9897262746174969E+004                  4.2987933349022951E+000                  5.8011740000000000E+003 
                                     188                  3.2365800075834000E-004                  1.7400761219596803E+004                  4.2405682474917477E+000                  5.9336430000000000E+003 
                                     190                  3.2373373450438536E-004                  1.6642068875421890E+004                  4.2212073150633662E+000                  5.9626670000000004E+003 
                                     192                  3.2383309184177381E-004                  1.5706622507768745E+004                  4.1960828060496631E+000                  5.9916220000000003E+003 
                                     194                  3.2385276879037084E-004                  1.5527462629294161E+004                  4.1911004926810165E+000                  6.2072650000000003E+003 
                                     196                  3.2386752650181863E-004                  1.5391546070429453E+004                  4.1872822466106641E+000                  6.2720410000000002E+003 
                                     198                  3.2388228421326647E-004                  1.5260444218250370E+004                  4.1835671757372737E+000                  6.3011329999999998E+003 
                                     200                  3.2389735242078680E-004                  1.5124549690936074E+004                  4.1796824530995194E+000                  6.4560230000000001E+003 
                                     202                  3.2391242062830718E-004                  1.4987971520944024E+004                  4.1757428592076815E+000                  6.4854870000000001E+003 
                                     204                  3.2393502293958775E-004                  1.4784030094396954E+004                  4.1697928379275213E+000                  6.5161340000000000E+003 
                                     206                  3.2402543218471025E-004                  1.3995896031390635E+004                  4.1460007076633225E+000                  6.5473649999999998E+003 
                                     208                  3.2408746774938759E-004                  1.3474992824338302E+004                  4.1295285425896768E+000                  6.5846769999999997E+003 
                                     210                  3.2414950331406493E-004                  1.2970645139989152E+004                  4.1129615777625181E+000                  6.6150590000000002E+003 
                                     212                  3.2429833836724789E-004                  1.1869277382691902E+004                  4.0744242793368661E+000                  6.6451679999999997E+003 
                                     214                  3.2442332963069596E-004                  1.0957271046361027E+004                  4.0397024047797183E+000                  6.7018519999999999E+003 
                                     216                  3.2444243328671454E-004                  1.0815697964652758E+004                  4.0340545508131518E+000                  6.8954499999999998E+003 
                                     218                  3.2446153694273312E-004                  1.0672325015550847E+004                  4.0282590428010066E+000                  6.9253940000000002E+003 
                                     220                  3.2449019242676097E-004                  1.0448243443373920E+004                  4.0190432830812890E+000                  6.9579679999999998E+003 
                                     222                  3.2460481436287231E-004                  9.5847474699664908E+003                  3.9815806749767488E+000                  6.9884560000000001E+003 
                                     224                  3.2475246450924160E-004                  8.5495978629409419E+003                  3.9319456878260723E+000                  7.0196450000000004E+003 
                                     226                  3.2484696060291790E-004                  7.9115743418008360E+003                  3.8982629133237126E+000                  7.0503019999999997E+003 
                                     228                  3.2497421859017706E-004                  7.1062311635160258E+003                  3.8516393308491339E+000                  7.0798249999999998E+003 
                                     230                  3.2507662738633233E-004                  6.4848640244895969E+003                  3.8119008741698353E+000                  7.1093109999999997E+003 
                                     232                  3.2515167830216956E-004                  6.0560311949908928E+003                  3.7821881035754896E+000                  7.1394160000000002E+003 
                                     234                  3.2518539165862477E-004                  5.8695121401173392E+003                  3.7686020052237632E+000                  7.3727169999999996E+003 
                                     236                  3.2521910501508004E-004                  5.6852558276993832E+003                  3.7547500120419337E+000                  7.4042650000000003E+003 
                                     238                  3.2526967504976288E-004                  5.4166973406880197E+003                  3.7337345699528597E+000                  7.4338829999999998E+003 
                                     240                  3.2540537630078211E-004                  4.7686158823471187E+003                  3.6783923409082537E+000                  7.4641490000000003E+003 
                                     242                  3.2543268611602555E-004                  4.6447465263156837E+003                  3.6669620186039205E+000                  7.6156740000000000E+003 
                                     244                  3.2545999593126899E-004                  4.5196645368153731E+003                  3.6551062013563818E+000                  7.6458239999999996E+003 
                                     246                  3.2553025050136068E-004                  4.2166690970452055E+003                  3.6249695211083046E+000                  7.6760889999999999E+003 
                                     248                  3.2557296690786686E-004                  4.0419693258564407E+003                  3.6065930133698259E+000                  7.7809449999999997E+003 
                                     250                  3.2559432511111995E-004                  3.9548839591191318E+003                  3.5971337453169907E+000                  7.8701949999999997E+003 
                                     252                  3.2561568331437304E-004                  3.8671795905971380E+003                  3.5873943410397771E+000                  7.9002960000000003E+003 
                                     254                  3.2567975792413236E-004                  3.6172530991459907E+003                  3.5583788974032711E+000                  7.9298270000000002E+003 
                                     256                  3.2586985493395995E-004                  2.9809724470553783E+003                  3.4743579618940497E+000                  7.9663570000000000E+003 
                                     258                  3.2593055294764741E-004                  2.7994350919888398E+003                  3.4470704023479253E+000                  8.1180439999999999E+003 
                                     260                  3.2599125096133481E-004                  2.6179910391191243E+003                  3.4179681557106201E+000                  8.1479089999999997E+003 
                                     262                  3.2608229798186591E-004                  2.3622860429731513E+003                  3.3733324840325216E+000                  8.1770060000000003E+003 
                                     264                  3.2624123837197289E-004                  1.9778805696431216E+003                  3.2962000640503901E+000                  8.2061290000000008E+003 
                                     264                  3.2619375126997761E-004                  2.0860985090063509E+003                  3.3193348126752404E+000                  8.2466049999999996E+003 
                                     266                  3.2624840432300543E-004                  1.9613751419361690E+003                  3.2925606668402416E+000                  8.2751569999999992E+003 
                                     268                  3.2630305737603324E-004                  1.8413876888400785E+003                  3.2651452352167407E+000                  8.3049809999999998E+003 
                                     270                  3.2646701653511658E-004                  1.5261824193681666E+003                  3.1836064464564289E+000                  8.3332960000000003E+003 
                                     272                  3.2669431010453405E-004                  1.1914519742755986E+003                  3.0760765412460875E+000                  8.3633220000000001E+003 
                                     274                  3.2687657473939912E-004                  9.8818044738160586E+002                  2.9948362564768098E+000                  8.3970100000000002E+003 
                                     276                  3.2715640532077065E-004                  7.7072012852144746E+002                  2.8868967013911480E+000                  8.4261900000000005E+003 
                                     278                  3.2740188268617947E-004                  6.4043428049558327E+002                  2.8064745703297285E+000                  8.4561419999999998E+003 
                                     280                  3.2778097429898205E-004                  5.0735918073072986E+002                  2.7053155233971204E+000                  8.4854539999999997E+003 
                                     282                  3.2812931660307175E-004                  4.2450437844729800E+002                  2.6278821740280143E+000                  8.5140249999999996E+003 
                                     284                  3.2867935524707705E-004                  3.3812908873114338E+002                  2.5290825340665775E+000                  8.5431749999999993E+003 
                                     286                  3.2918621959125423E-004                  2.8416487269746250E+002                  2.4535703911968891E+000                  8.5731650000000009E+003 
                                     288                  3.2997849446606491E-004                  2.2839546532872882E+002                  2.3586874769719683E+000                  8.6023639999999996E+003 
                                     290                  3.3068363953505151E-004                  1.9440066101625584E+002                  2.2886977373146604E+000                  8.6302720000000008E+003 
                                     292                  3.3180644708768217E-004                  1.5822291523976656E+002                  2.1992693820787359E+000                  8.6599439999999995E+003 
